Titre,auteur,Genre,publication,Payslivre,Affiche,film,Réalisateur,Producteur,sortiefilm,Paysfilm,Ratings
Life of Pi,Yann Martel,Aventure,2001,Canada,http://www.imdb.com/media/rm763276032/tt0454876?ref_=tt_ov_i,Life of Pi,Ang Lee, Fox 2000 Pictures,2012,USA | Taiwan | UK | Canada,8
Pierre et Jean,Guy de Maupassant, Drama,1887,France,N/A,Pierre et Jean, Émile-Bernard Donatien, Films Donatien,1924,France,N/A
Pierre et Jean,Guy de Maupassant, Drama,1887,France,N/A, Pierre et Jean, André Cayatte, Continental Films,1943,France,"6,7"
Pierre et Jean,Guy de Maupassant, Drama,1887,France,http://www.imdb.com/media/rm3731280384/tt0043824?ref_=tt_ov_i,Una mujer sin amor, Luis Buñuel, Internacional Cinematográfica ,1952,Mexique,"6,7"
"L’Éducation sentimentale, histoire d’un jeune homme", Gustave Flaubert, Drama ,1869,France,N/A, L'Éducation sentimentale,Alexandre Astruc, Société Française de Cinématographie (SFC),1962,France,"7,1"
"L’Éducation sentimentale, histoire d’un jeune homme", Gustave Flaubert, Drama ,1869,France,http://www.imdb.com/media/rm2478543360/tt0217100?ref_=tt_ov_i,Toutes les nuits, Eugène Green, Ellabel Productions,2001,France,"7,3"
Salammbô, Gustave Flaubert,Drama,1862,France,N/A,Salambò,Pierre Marodon, Gaumont-Franco Film-Aubert (G.F.F.A),1925, France ,"5,9"
Salammbô, Gustave Flaubert,Drama,1862,France,N/A,Salambò,Sergio Grieco, Stella Film,1960, Italie | France,5
The Maze Runner,James Dashner,Science-fiction ,2009,USA,http://www.imdb.com/media/rm3764699904/tt1790864?ref_=tt_ov_i,The Maze Runner,Wes Ball, 20th Century Fox Studios ,2014,USA,"7,3"
Before I Die, Jenny Downham, Drama | Romance,2007,UK,http://www.imdb.com/media/rm2186589696/tt1937264?ref_=tt_ov_i,Now is good,Ol Parker, Goldcrest Pictures | BBC Films,2012,UK,"7,3"
The Perks of Being a Wallflower, Stephen Chbosky,Drama,1999,USA,http://www.imdb.com/media/rm1968354560/tt1659337?ref_=tt_ov_i,The Perks of Being a Wallflower,Stephen Chbosky, Summit Entertainment,2012,USA,"8,1"
On the Road,Jack Kerouac,Drama,1957,USA,http://www.imdb.com/media/rm649965312/tt0337692?ref_=tt_ov_i,On the Road, Walter Salles, MK2 Productions,2012,France | USA | UK | Brézil | Canada,"6,1"
Et si c'était vrai...,Marc Levy,Comédie romantique | Fantastique,2000,France,http://www.imdb.com/media/rm2619448576/tt0425123?ref_=tt_ov_i,Just like heaven,Mark Waters, DreamWorks SKG,2005,USA,"6,7"
Mes amis mes amours,Marc Levy,Comédie romantique,2006,France,http://www.imdb.com/media/rm3665089024/tt0827192?ref_=tt_ov_i,"Mes amis, mes amours", Lorraine Lévy, Evidence Films,2008,France,"5,4"
Water for Elephants ,Sara Gruen,Drama,2006,USA,http://www.imdb.com/media/rm564902400/tt1067583?ref_=tt_ov_i,Water for Elephants ,Francis Lawrence, 20th Century Fox Studios ,2011,USA,7
Warm Bodies,Isaac Marion,Comédie | Horror | Romance,2010,USA,http://www.imdb.com/media/rm2407440896/tt1588173?ref_=tt_ov_i,Warm Bodies,Jonathan Levigne, Summit Entertainment,2013,USA | Canada,7
Elle s'appelait Sarah,Tatiana de Rosnay,Drama | Historique,2006,France,http://www.imdb.com/media/rm2178727424/tt1668200?ref_=tt_ov_i,Elle s'appelait Sarah,Gilles Paquet-Brenner,Hugo Productions,2010,France,"7,5"
Geisha ,Arthur Golden,Drama | Historique,1997,USA,http://www.imdb.com/media/rm3536162048/tt0397535?ref_=tt_ov_i,Memoirs of a Geisha , Rob Marshall, Columbia Pictures Corporation | DreamWorks ,2005,USA,"7,3"
Bridget Jones's Diary,Helen Fielding ,Comédie romantique,1996,UK,http://www.imdb.com/media/rm2473254400/tt0243155?ref_=tt_ov_i,Bridget Jones's Diary,Sharon Maguire, Miramax Films | Universal Pictures,2001,UK,"6,7"
Bridget Jones: The Edge of Reason,Helen Fielding ,Comédie romantique,1999,UK,http://www.imdb.com/media/rm244096256/tt0317198?ref_=tt_ov_i,Bridget Jones: The Edge of Reason, Beeban Kidron, Universal Pictures | StudioCanal | Miramax Films,2004,UK,"5,9"
The Devil Wears Prada,Lauren Weisberger ,Comédie | Drama,2005,USA,http://www.imdb.com/media/rm2386398208/tt0458352?ref_=tt_ov_i,The Devil Wears Prada,David Frankel, Fox 2000 Pictures | Dune Entertainment,2006,USA,"6,8"
Fight Club,Chuck Palahniuk ,Drama,1996,USA,http://www.imdb.com/media/rm414231552/tt0137523?ref_=tt_ov_i,Fight Club,David Fincher, Fox 2000 Pictures,1999,USA,"8,9"
The Godfather , Mario Puzo,Drama,1969,USA,http://www.imdb.com/media/rm330345472/tt0068646?ref_=tt_ov_i,The Godfather,Francis Ford Coppola, Paramount Pictures,1972,USA,"9,2"
Shutter Island, Dennis Lehane,Thriller,2003,USA,http://www.imdb.com/media/rm2114422784/tt1130884?ref_=tt_ov_i,Shutter Island,Martin Scorsese, Paramount Pictures,2010,USA,"8,1"
The Picture of Dorian Gray,Oscar Wild, Drama | Horror,1890,Irlande,http://www.imdb.com/media/rm670796032/tt0037988?ref_=tt_ov_i,The Picture of Dorian Gray,Albert Lewin, Metro-Goldwyn-Mayer (MGM) ,1945,USA,"7,6"
The Picture of Dorian Gray,Oscar Wild, Drama | Horror,1890,Irlande,http://www.imdb.com/media/rm44665088/tt1235124?ref_=tt_ov_i,Dorian Grey,Oliver Parker, Ealing Studios,2009, UK,"6,3"
No Country for Old Men, Cormac McCarthy,Drama | Thriller,2005,USA,http://www.imdb.com/media/rm1263244032/tt0477348?ref_=tt_ov_i,No Country for Old Men," Ethan Coen, Joel Coen", Paramount Vantage | Miramax Films,2007,USA,"8,2"
Horns,Joe Hill,Fantastique,2010,USA,http://www.imdb.com/media/rm1912273408/tt1528071?ref_=tt_ov_i,Horns,Alexandre Aja, Red Granite Pictures,2013,USA,"6,6"
If I Stay, Gayle Forman,Drama,2009,USA,http://www.imdb.com/media/rm3353857024/tt1355630?ref_=tt_ov_i,If I stay, R.J. Cutler, DiNovi Pictures | Metro-Goldwyn-Mayer (MGM),2014,USA,7
PS : I love you,Cecelia Ahern ,Romance,2004,Irlande,http://www.imdb.com/media/rm1905822976/tt0431308?ref_=tt_ov_i,PS : I love you,Richard LaGravenese, Alcon Entertainment,2007,USA,7
Et aprés,Guillaume Musso,Thriller,2004,France,http://www.imdb.com/media/rm3766454528/tt0940580?ref_=tt_ov_i,Afterwards,Gilles Bourdos, Fidélité Films,2008,France,"5,9"
The Big Picture,Douglas Kennedy,Policier,1997,USA,http://www.imdb.com/media/rm1333571072/tt1533818?ref_=tt_ov_i,L'homme qui voulait vivre sa vie,Eric Lartigau, EuropaCorp | TF1 Films Production,2010,France,"6,7"
Jurassic Park, Michael Crichton,Science-fiction,1990,USA,http://www.imdb.com/media/rm1394388736/tt0107290?ref_=tt_ov_i,Jurassic Park,Steven Spielberg, Universal Pictures,1993,USA,8
The Lost World, Michael Crichton,Science-fiction,1995,USA,http://www.imdb.com/media/rm216504832/tt0119567?ref_=tt_ov_i,The Lost World: Jurassic Park,Steven Spielberg, Universal Pictures,1997,USA,"6,4"
The Hitchhiker's Guide to the Galaxy, Douglas Adams,Science-fiction,1979,UK,http://www.imdb.com/media/rm4055996672/tt0371724?ref_=tt_ov_i,The Hitchhiker's Guide to the Galaxy,Garth Jennings, Touchstone Pictures,2005,USA | UK,"6,8"
Percy Jackson : The Lightning Thief,Rick Riordan,Aventure,2005,USA,http://www.imdb.com/title/tt0814255/?ref_=nv_sr_2,Percy Jackson & the Olympians: The Lightning Thief,Chris Columbus, Fox 2000 Pictures,2010,USA,"5,9"
Percy Jackson : The Sea of Monsters,Rick Riordan,Aventure,2006,USA,http://www.imdb.com/media/rm1699259392/tt1854564?ref_=tt_ov_i,Percy Jackson: Sea of Monsters, Thor Freudenthal, Fox 2000 Pictures,2013,USA,"5,9"
War Horse, Michael Morpurgo,Drama | War,1982,UK,http://www.imdb.com/media/rm577879296/tt1568911?ref_=tt_ov_i,War Horse,Steven Spielberg, DreamWorks SKG,2011,USA,"7,2"
Winter's Bone, Daniel Woodrell ,Drama,2006,USA,http://www.imdb.com/media/rm4198731008/tt1399683?ref_=tt_ov_i,Winter's Bone,Debra Granik,Anonymous Content,2010,USA,"7,2"
Twilight,Stephanie Meyers,Fantastique | Romance,2005,USA,http://ia.media-imdb.com/images/M/MV5BMTQ2NzUxMTAxN15BMl5BanBnXkFtZTcwMzEyMTIwMg@@._V1_SX214_AL_.jpg,Twilight,Catherine Hardwicke,Summit Entertainment,2008,USA,"5,2"
New Moon,Stephanie Meyers,Fantastique | Romance,2006,USA,http://www.imdb.com/media/rm365071872/tt1259571?ref_=tt_ov_i,The Twilight Saga: New Moon,Chris Weitz,Summit Entertainment,2009,USA,"4,6"
Eclipse,Stephanie Meyers,Fantastique | Romance,2007,USA,http://www.imdb.com/media/rm146312192/tt1325004?ref_=tt_ov_i,The Twilight Saga : Eclipse,David Slade,Summit Entertainment,2010,USA,"4,9"
Breaking Dawn,Stephanie Meyers,Fantastique | Romance,2008,USA,http://www.imdb.com/media/rm2517941248/tt1324999?ref_=tt_ov_i,The Twilight Saga: Breaking Dawn part 1,Bill Condon,Summit Entertainment,2011,USA,"4,9"
Breaking Dawn,Stephanie Meyers,Fantastique | Romance,2008,USA,http://www.imdb.com/media/rm659205632/tt1673434?ref_=tt_ov_i,The Twilight Saga: Breaking Dawn part 2,Bill Condon,Summit Entertainment,2012,USA,"5,6"
Divergent,Veronica Roth,Science-fiction,2012,USA,http://www.imdb.com/media/rm2855260672/tt1840309?ref_=tt_ov_i,Divergent,Neil Burger,Summit Entertainment,2013,USA,"6,9"
The Book Thief,Markus Zusak,Drama | War,2006,USA,http://www.imdb.com/media/rm861985792/tt0816442?ref_=tt_ov_i,The Book Thief,Brian Percival,Fox 2000 Pictures | Studios de Babelsberg,2013,USA,"7,6"
Jaws ,Peter Benchley,Horreur,1974,USA,http://www.imdb.com/media/rm813291008/tt0073195?ref_=tt_ov_i,Jaws,Steven Spielberg,Universal Pictures,1975,USA,"8,1"
Jumanji,Chris Van Allsburg,Fantasy,1981,USA,http://www.imdb.com/media/rm2315304960/tt0113497?ref_=tt_ov_i,Jumanji,Joe Johnston, TriStar Pictures,1995,USA,"6,8"
Zathura,Chris Van Allsburg,Fantasy,2002,USA,http://www.imdb.com/media/rm2753207552/tt0406375?ref_=tt_ov_i,Zathura: A Space Adventure,Jon Favreau, Columbia Pictures Corporation,2005,USA,"6,1"
Before I go to sleep,S. J. Watson,Thriller,2011,UK,http://www.imdb.com/media/rm3436560640/tt1726592?ref_=tt_ov_i,Before I go to sleep,Rowan Joffé, Clarius Entertainment,2014,USA,"6,2"
Simetierre,Stephen King,Horreur,1983,USA,http://www.imdb.com/media/rm619355136/tt0098084?ref_=tt_ov_i,Pet Sematary, Mary Lambert, Paramount Pictures,1989,USA,"6,5"
American Psycho,Brett Easton Ellis,Thriller,1992,USA,http://www.imdb.com/media/rm3262632960/tt0144084?ref_=tt_ov_i,American Psycho,Mary Harron, Universal Pictures,2000,USA,"7,6"
The Sheep-Pig,Dick King-Smith,Comédie,1983,UK,http://www.imdb.com/media/rm760716288/tt0112431?ref_=tt_ov_i,Babe, Chris Noonan, Universal Pictures,1995,USA,"6,9"
Mrs. Dalloway,Virginia Woolf,Drama,1925,UK,http://www.imdb.com/media/rm3563363328/tt0119723?ref_=tt_ov_i, Mrs. Dalloway,Marleen Gorris, First Look International,1997,UK | USA | Netherlands,"6,9"
Mrs. Dalloway,Virginia Woolf,Drama,1925,UK,http://www.imdb.com/media/rm4179921920/tt0274558?ref_=tt_ov_i,The Hours,Stephen Daldry,Paramount Picture | Miramax Films,2002,USA,"7,6"
Silver Linings Playbook,Matthew Quick,Comedie | Drama | Romance,2008,USA,http://www.imdb.com/media/rm2321852672/tt1045658?ref_=tt_ov_i,Silver Linings Playbook,David O. Russell,Mirage Enterprises | The Weinstein Company,2012,USA,"7,9"
The Andromeda Strain,Michael Crichton,Thriller,1969,USA,http://www.imdb.com/media/rm956866304/tt0066769?ref_=tt_ov_i,The Andromeda Strain,Robert Wise, Universal Pictures ,1971,USA,"7,2"
Dealing: Or the Berkeley-to-Boston Forty-Brick Lost-Bag Blues,Michael Crichton,Comedie | Drama | Thriller ,1970,USA,http://www.imdb.com/media/rm3248790784/tt0068455?ref_=tt_ov_i,Dealing: Or the Berkeley-to-Boston Forty-Brick Lost-Bag Blues,Paul Williams, Warner Bros.,1972,USA,"6,2"
A Case of Need,Michael Crichton,Thriller,1968,USA,http://www.imdb.com/media/rm2507788800/tt0068337?ref_=tt_ov_i,The Carey Treatment,Blake Edwards, Geoffrey Productions ,1972,USA,"6,2"
The Terminal Man,Michael Crichton,Science-fiction | Thriller,1974,USA,http://www.imdb.com/media/rm1423285248/tt0072267?ref_=tt_ov_i,The Terminal Man,Mike Hodges, Warner Bros.,1974,USA,"5,8"
The Great Train Robbery,Michael Crichton,Historique,1975,USA,http://www.imdb.com/title/tt0079240/?ref_=fn_al_tt_1,The First Great Train Robbery,Michael Crichton, Starling Films,1978, UK,7
Rising Sun,Michael Crichton,Action,1992,USA,http://www.imdb.com/media/rm1861718016/tt0107969?ref_=tt_ov_i,Rising Sun, Philip Kaufman, 20th Century Fox Studios ,1993,USA,"6,2"
Disclosure,Michael Crichton,Thriller,1994,USA,http://www.imdb.com/media/rm1174773504/tt0109635?ref_=tt_ov_i,Disclosure,Barry Levinson, Warner Bros.,1994,USA,6
Congo,Michael Crichton,Science-fiction,1980,USA,http://www.imdb.com/media/rm1284348928/tt0112715?ref_=tt_ov_i,Congo,Frank Marshall, Paramount Pictures,1995,USA,5
Sphere,Michael Crichton,Science-fiction,1987,USA,http://www.imdb.com/media/rm1007197952/tt0120184?ref_=tt_ov_i,Sphere,Barry Levinson,Warner Bros.,1998,USA,6
Eaters of the Dead,Michael Crichton,Historique,1976,USA,http://www.imdb.com/media/rm1328520704/tt0120657?ref_=tt_ov_i,The 13th Warrior," John McTiernan, Michael Crichton",Touchstone Pictures ,1999,USA,"6,6"
Timeline ,Michael Crichton,Science-fiction,1999,USA,http://www.imdb.com/media/rm367433984/tt0300556?ref_=tt_ov_i,Timeline,Richard Donner, Paramount Pictures,2003,USA,"5,6"
La Peau de chagrin,Honoré de Balzac,Fantastique,1831,France,http://filmographie.fondation-jeromeseydoux-pathe.com/docannexe/image/2801/780-small250.jpg,La Peau de Chagrin,Michel Carré,Pathé,1909,France,N/A
La Peau de chagrin,Honoré de Balzac,Fantastique,1831,France,N/A,The Magic skin,Richard Ridgelet,N/A,1915,USA,N/A
La Peau de chagrin,Honoré de Balzac,Fantastique,1831,France,N/A,Das Spiel vom Tod,Alwin Neuß,N/A,1917,Allemagne,N/A
La Peau de chagrin,Honoré de Balzac,Fantastique,1831,France,N/A,Slave of desire,George D. Baker,N/A,1923,USA,N/A
La Peau de chagrin,Honoré de Balzac,Fantastique,1831,France,N/A,Die Unheimlichen Wünsche,Heinz Hilpert,N/A,1939,Allemagne,N/A
La Peau de chagrin,Honoré de Balzac,Fantastique,1831,France,N/A,La piel de Zapa,Luis Bayón Herrera,N/A,1943,Argentine,N/A
La Peau de chagrin,Honoré de Balzac,Fantastique,1831,France,N/A,Chagrenevaia Kost,Igor Bezroukov,N/A,1992,Russie,N/A
The Woman in Black ,Susan Hill,Horreur,1983,UK,http://www.imdb.com/media/rm2641670400/tt1596365?ref_=tt_ov_i,The Woman in Black, James Watkins , Cross Creek Pictures,2012,UK,"6,5"
I Am Number Four,Pittacus Lore,Science-fiction,2010,USA,http://www.imdb.com/media/rm3255796736/tt1464540?ref_=tt_ov_i,I Am Number Four, D.J. Caruso,DreamWorks ,2011,USA,"6,1"
Le avventure di Pinocchio. Storia di un burattino,Carlo Lorenzini,Conte,1883,Italie,http://www.imdb.com/media/rm3756165888/tt0032910?ref_=tt_ov_i,Pinocchio,Norman Ferguson,Walt Disney,1940,USA,"7,6"
Le avventure di Pinocchio. Storia di un burattino,Carlo Lorenzini,Conte,1883,Italie,http://www.imdb.com/media/rm1385930496/tt0255477?ref_=tt_ov_i,Pinocchio,Roberto Benigni,Melampo Cinematografica,2002,Italie,"4,2"
Le avventure di Pinocchio. Storia di un burattino,Carlo Lorenzini,Conte,1883,Italie,http://www.imdb.com/media/rm3098254848/tt0115472?ref_=tt_ov_i,The Adventures of Pinocchio,Steve Barron,New Line Cinema,1996,UK | USA,"5,3"
Dumbo,Helen Aberson,Fiction,1939,USA,http://www.imdb.com/media/rm1393150720/tt0033563?ref_=tt_ov_i,Dumbo,Samuel Armstrong,Walt Disney,1941,USA,"7,3"
"Bambi, Eine Lebensgeschichte aus dem Walde",Felix Salten,Fiction,1923,Autriche,http://www.imdb.com/media/rm977977344/tt0034492?ref_=tt_ov_i,Bambi,James Algar,Walt Disney,1942,USA,"7,4"
"Happy Dan, the Whistling Dog",Ward Greene,Fiction,1937,USA,"http://ia.media-imdb.com/images/M/MV5BMjAwNzA3NTk0NV5BMl5BanBnXkFtZTcwMzkyNDEzMQ@@._V1_SY317_CR8,0,214,317_AL_.jpg",Lady and the Tramp,Clyde Geronimi,Walt Disney,1955,USA,"7,4"
The Host,Stephanie Meyers,science fiction,2008,USA,http://www.imdb.com/media/rm792571648/tt1517260?ref_=tt_ov_i,The Host,Andrew Niccol, Chockstone Pictures,2013,USA,"5,9"
The Lovely Bones , Alice Sebold,Drama,2002,USA,http://www.imdb.com/media/rm2236976640/tt0380510?ref_=tt_ov_i,The Lovely Bones ,Peter Jackson,DreamWorks ,2009,USA,"6,7"
To Kill a Mockingbird ,Harper Lee,  Drama,1960,USA,http://www.imdb.com/media/rm3546514944/tt0056592?ref_=tt_ov_i,To Kill a Mockingbird ,Robert Mulligan, Universal Pictures ,1962,USA,"8,4"
The Time Traveler's Wife , Audrey Niffenegger ,Romance,2003,USA,http://www.imdb.com/media/rm2372831232/tt0452694?ref_=tt_ov_i,The Time Traveler's Wife ,Robert Schwentke, New Line Cinema,2009,USA,"7,1"
The Fault in Our Stars ,John Green,Romance,2003,USA,http://www.imdb.com/media/rm3702838272/tt2582846?ref_=tt_ov_i,The Fault in Our Stars ,Josh Boone, Temple Hill Entertainment,2014,USA,"8,1"
City of Bones,Cassandra Clare,Fantasy,2007,USA,http://www.imdb.com/media/rm1227610624/tt1538403?ref_=tt_ov_i,The Mortal Instruments: City of Bones,Harald Zwart, Constantin Film Produktion,2013,USA | Allemagne | Canada,6
The Da Vinci Code,Dan Brown ,Thriller,2003,USA,http://www.imdb.com/media/rm3939601664/tt0382625?ref_=tt_ov_i,The Da Vinci Code,Ron Howard, Columbia Pictures,2006,USA / France,"6,5"
Howl's Moving Castle,Diana Wynne Jones,Fantastique,1986,UK,http://ia.media-imdb.com/images/M/MV5BMTY1OTg0MjE3MV5BMl5BanBnXkFtZTcwNTUxMTkyMQ@@._V1_SX214_AL_.jpg,Hauru no ugoku shiro,Hayao Miyazaki,Buena Vista Home Entertainment,2004,Japon,"8,2"
The Princess Bride, William Goldman,Fantastique,1973,USA,http://www.imdb.com/media/rm530829824/tt0093779?ref_=tt_ov_i,The Princess Bride,Rob Reiner, Buttercup Films Ltd,1987,USA,"8,2"
Mary Poppins,Pamela Lyndon Travers,Fantastique,1934,UK,http://www.imdb.com/media/rm3195981824/tt0058331?ref_=tt_ov_i,Mary Poppins,Robert Stevenson,Walt Disney,1964,USA,"7,8"
Den Lille Havfrue,Hans Christian Andersen,Conte,1837,Danemark,http://www.imdb.com/media/rm3329741824/tt0097757?ref_=tt_ov_i,The Little Mermaid,Ron Clements,Walt Disney,1989,USA,"7,6"
Den Lille Havfrue,Hans Christian Andersen,Conte,1837,Danemark,http://www.onlyshojo.com/Immagini/sirenetta/marinanew10.jpg,Anderusen dôwa ningyo-hime,Tomoharu Katsumata,Toei Doga,1975,Japon,"7,4"
"The Lion, the Witch, and the Wardrobe ",C.S. Lewis,Fantasy,1950,UK,http://www.imdb.com/media/rm3252194560/tt0363771?ref_=tt_ov_i,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Andrew Adamson,Walt Disney,2005,USA | UK,"6,9"
 Prince Caspian: The Return to Narnia,C.S. Lewis,Fantasy,1951,UK,http://www.imdb.com/media/rm3891435008/tt0499448?ref_=tt_ov_i,The Chronicles of Narnia: Prince Caspian,Andrew Adamson,Walt Disney,2008,USA | UK,"6,6"
The Voyage of the Dawn Treader,C.S. Lewis,Fantasy,1952,UK,http://www.imdb.com/media/rm1986496000/tt0980970?ref_=tt_ov_i,The Chronicles of Narnia: The Voyage of the Dawn Treader,Michael Apted,Fox 2000 Pictures,2010,USA | UK,"6,4"
Atonement, Ian McEwan ,  Drama | Romance ,2001,UK,http://www.imdb.com/media/rm2987758336/tt0783233?ref_=tt_ov_i,Atonement, Joe Wright, Universal Pictures,2007,UK | France | USA,"7,8"
La Fausse Maîtresse,Honoré de Balzac,Comedie Dramatique,1841,France,N/A,La Fausse Maîtresse,André Cayatte,Continental Films,1942,France,"5,6"
La Cousine Bette ,Honoré de Balzac,Drame,1847,France,N/A,La Cousine Bette ,Max de Rieux,N/A,1927,France,"7,3"
La Cousine Bette ,Honoré de Balzac,Drame,1847,France,http://www.imdb.com/media/rm2076875776/tt0118894?ref_=tt_ov_i,Cousin Bette ,Desmond Mac Anuff,     Fox Searchlight Pictures,1998,UK|USA,"6,2"
La Maison Nucingen,Honoré de Balzac,Drame,1838,France,http://www.notrecinema.com/images/cache/la-maison-nucingen-poster_387843_10547.jpg,Nucingen Haus,Raoul Ruiz,"Margo Films, MACT Productions, 
Centre National de la Cinématographie (CNC)",2008,Romania | France |Chile,6
La Duchesse de Langeais,Honoré de Balzac,  Drama | Romance ,1832,France,N/A,La Duchesse de Langeais,André Calmettes,Pathé Frères,1910,France,"4,4"
La Duchesse de Langeais,Honoré de Balzac,  Drama | Romance ,1832,France,N/A,The Eternal Flame,Frank Lloyd,Norma Talmadge Film Corporation,1922,USA,"7,2"
La Duchesse de Langeais,Honoré de Balzac,  Drama | Romance ,1832,France,N/A,Liebe,Paul Czinner,N/A,1926,Allemagne ,N/A
La Duchesse de Langeais,Honoré de Balzac,  Drama | Romance ,1832,France,N/A,La Duchesse de Langeais,Jacques de Baroncelli,Films Orange,1942,France,"4,4"
La Duchesse de Langeais,Honoré de Balzac,  Drama | Romance ,1832,France,http://www.imdb.com/media/rm3349975040/tt0781435?ref_=tt_ov_i,Ne touchez pas la hache,Jacques Rivette,"Pierre Grise Productions, Cinemaundici, arte France Cinéma",2007,France | Italy,"6,6"
